lat,lon,first_crossing_year
-90.0,0.0,2041.0
-90.0,1.25,2041.0
-90.0,2.5,2041.0
-90.0,3.75,2041.0
-90.0,5.0,2041.0
-90.0,6.25,2041.0
-90.0,7.5,2041.0
-90.0,8.75,2041.0
-90.0,10.0,2041.0
-90.0,11.25,2041.0
-90.0,12.5,2041.0
-90.0,13.75,2041.0
-90.0,15.0,2041.0
-90.0,16.25,2041.0
-90.0,17.5,2041.0
-90.0,18.75,2041.0
-90.0,20.0,2041.0
-90.0,21.25,2041.0
-90.0,22.5,2041.0
-90.0,23.75,2041.0
-90.0,25.0,2041.0
-90.0,26.25,2041.0
-90.0,27.5,2041.0
-90.0,28.75,2041.0
-90.0,30.0,2041.0
-90.0,31.25,2041.0
-90.0,32.5,2041.0
-90.0,33.75,2041.0
-90.0,35.0,2041.0
-90.0,36.25,2041.0
-90.0,37.5,2041.0
-90.0,38.75,2041.0
-90.0,40.0,2041.0
-90.0,41.25,2041.0
-90.0,42.5,2041.0
-90.0,43.75,2041.0
-90.0,45.0,2041.0
-90.0,46.25,2041.0
-90.0,47.5,2041.0
-90.0,48.75,2041.0
-90.0,50.0,2041.0
-90.0,51.25,2041.0
-90.0,52.5,2041.0
-90.0,53.75,2041.0
-90.0,55.0,2041.0
-90.0,56.25,2041.0
-90.0,57.5,2041.0
-90.0,58.75,2041.0
-90.0,60.0,2041.0
-90.0,61.25,2041.0
-90.0,62.5,2041.0
-90.0,63.75,2041.0
-90.0,65.0,2041.0
-90.0,66.25,2041.0
-90.0,67.5,2041.0
-90.0,68.75,2041.0
-90.0,70.0,2041.0
-90.0,71.25,2041.0
-90.0,72.5,2041.0
-90.0,73.75,2041.0
-90.0,75.0,2041.0
-90.0,76.25,2041.0
-90.0,77.5,2041.0
-90.0,78.75,2041.0
-90.0,80.0,2041.0
-90.0,81.25,2041.0
-90.0,82.5,2041.0
-90.0,83.75,2041.0
-90.0,85.0,2041.0
-90.0,86.25,2041.0
-90.0,87.5,2041.0
-90.0,88.75,2041.0
-90.0,90.0,2041.0
-90.0,91.25,2041.0
-90.0,92.5,2041.0
-90.0,93.75,2041.0
-90.0,95.0,2041.0
-90.0,96.25,2041.0
-90.0,97.5,2041.0
-90.0,98.75,2041.0
-90.0,100.0,2041.0
-90.0,101.25,2041.0
-90.0,102.5,2041.0
-90.0,103.75,2041.0
-90.0,105.0,2041.0
-90.0,106.25,2041.0
-90.0,107.5,2041.0
-90.0,108.75,2041.0
-90.0,110.0,2041.0
-90.0,111.25,2041.0
-90.0,112.5,2041.0
-90.0,113.75,2041.0
-90.0,115.0,2041.0
-90.0,116.25,2041.0
-90.0,117.5,2041.0
-90.0,118.75,2041.0
-90.0,120.0,2041.0
-90.0,121.25,2041.0
-90.0,122.5,2041.0
-90.0,123.75,2041.0
-90.0,125.0,2041.0
-90.0,126.25,2041.0
-90.0,127.5,2041.0
-90.0,128.75,2041.0
-90.0,130.0,2041.0
-90.0,131.25,2041.0
-90.0,132.5,2041.0
-90.0,133.75,2041.0
-90.0,135.0,2041.0
-90.0,136.25,2041.0
-90.0,137.5,2041.0
-90.0,138.75,2041.0
-90.0,140.0,2041.0
-90.0,141.25,2041.0
-90.0,142.5,2041.0
-90.0,143.75,2041.0
-90.0,145.0,2041.0
-90.0,146.25,2041.0
-90.0,147.5,2041.0
-90.0,148.75,2041.0
-90.0,150.0,2041.0
-90.0,151.25,2041.0
-90.0,152.5,2041.0
-90.0,153.75,2041.0
-90.0,155.0,2041.0
-90.0,156.25,2041.0
-90.0,157.5,2041.0
-90.0,158.75,2041.0
-90.0,160.0,2041.0
-90.0,161.25,2041.0
-90.0,162.5,2041.0
-90.0,163.75,2041.0
-90.0,165.0,2041.0
-90.0,166.25,2041.0
-90.0,167.5,2041.0
-90.0,168.75,2041.0
-90.0,170.0,2041.0
-90.0,171.25,2041.0
-90.0,172.5,2041.0
-90.0,173.75,2041.0
-90.0,175.0,2041.0
-90.0,176.25,2041.0
-90.0,177.5,2041.0
-90.0,178.75,2041.0
-90.0,180.0,2041.0
-90.0,181.25,2041.0
-90.0,182.5,2041.0
-90.0,183.75,2041.0
-90.0,185.0,2041.0
-90.0,186.25,2041.0
-90.0,187.5,2041.0
-90.0,188.75,2041.0
-90.0,190.0,2041.0
-90.0,191.25,2041.0
-90.0,192.5,2041.0
-90.0,193.75,2041.0
-90.0,195.0,2041.0
-90.0,196.25,2041.0
-90.0,197.5,2041.0
-90.0,198.75,2041.0
-90.0,200.0,2041.0
-90.0,201.25,2041.0
-90.0,202.5,2041.0
-90.0,203.75,2041.0
-90.0,205.0,2041.0
-90.0,206.25,2041.0
-90.0,207.5,2041.0
-90.0,208.75,2041.0
-90.0,210.0,2041.0
-90.0,211.25,2041.0
-90.0,212.5,2041.0
-90.0,213.75,2041.0
-90.0,215.0,2041.0
-90.0,216.25,2041.0
-90.0,217.5,2041.0
-90.0,218.75,2041.0
-90.0,220.0,2041.0
-90.0,221.25,2041.0
-90.0,222.5,2041.0
-90.0,223.75,2041.0
-90.0,225.0,2041.0
-90.0,226.25,2041.0
-90.0,227.5,2041.0
